id	name
70077	Charly-sur-Marne
70081	Domptin
70083	L'Épine-aux-Bois
70087	Montreuil-aux-Lions
70088	Nogent-l'Artaud
70090	Romeny-sur-Marne
70091	Saulchery
70093	Viels-Maisons
70096	Belleau
70097	Bézu-Saint-Germain
70101	Brasles
70102	Château-Thierry
70106	Essômes-sur-Marne
70110	Gland
70111	Marigny-en-Orxois
70118	Baulne-en-Brie
70121	Condé-en-Brie
70122	Connigis
70127	Jaulgonne
70129	La Chapelle-Monthodon
70131	Mézy-Moulins
70136	Passy-sur-Marne
70137	Reuilly-Sauvigny
70141	Trélou-sur-Marne
70147	Coincy
70148	Coulonges-Cohan
70151	Fère-en-Tardenois
70162	Vézilly
70163	Villeneuve-sur-Fère
70178	La Ferté-Milon
70179	Latilly
70193	Silly-la-Poterie
70199	Anizy-le-Château
70210	Merlieux-et-Fouquerolles
70211	Monampteuil
70212	Mons-en-Laonnois
70229	Chauny
70240	Villequier-Aumont
70241	Viry-Noureuil
70246	Blérancourt
70251	Coucy-le-Château-Auffrique
70252	Crécy-au-Mont
70275	Bouconville-Vauclair
70276	Bourg-et-Comin
70278	Cerny-en-Laonnois
70279	Chamouille
70282	Corbeny
70290	Martigny-Courpierre
70294	Neuville-sur-Ailette
70296	Oulches-la-Vallée-Foulon
70298	Pancy-Courtecon
70301	Sainte-Croix
70313	Crécy-sur-Serre
70318	Nouvion-et-Catillon
70335	La Fère
70339	Saint-Gobain
70340	Saint-Nicolas-aux-Bois
70353	Athies-sous-Laon
70355	Bruyères-et-Montbérault
70360	Étouvelles
70368	Samoussy
70371	Laon
70382	Marcy-sous-Marle
70383	Marle
70397	Berry-au-Bac
70405	Guignicourt
70415	Neufchâtel-sur-Aisne
70439	Montcornet
70443	Parfondeval
70448	Rozoy-sur-Serre
70463	Liesse-Notre-Dame
70470	Saint-Erme-Outre-et-Ramecourt
70471	Sainte-Preuve
70472	Sissonne
70476	Tergnier
70478	Bohain-en-Vermandois
70483	Fresnoy-le-Grand
70492	Bellenglise
70493	Bellicourt
70494	Bony
70499	Le Catelet
70506	Vendhuile
70508	Alaincourt
70514	Châtillon-sur-Oise
70520	Mézières-sur-Oise
70521	Moÿ-de-l'Aisne
70534	Ribemont
70550	Gauchy
70552	Homblières
70553	Mesnil-Saint-Laurent
70554	Neuville-Saint-Amand
70555	Saint-Quentin
70566	Flavy-le-Martel
70571	Montescourt-Lizerolles
70575	Seraucourt-le-Grand
70584	Fayet
70587	Francilly-Selency
70590	Holnon
70594	Maissemy
70597	Roupy
