id	name
57	Armentières
49	Tourcoing
272	Saint-Amand-les-Eaux-Rive gauche
183	Saint-Pol-sur-Ternoise
124	Bully-les-Mines
176	Carvin
77	Château-Thierry
263	Marquion
47	Valenciennes
188	Bailleul
178	Abbeville-Nord
210	Breteuil
5	Roye
72	Neufchâtel-sur-Aisne
101	Laon
98	Haubourdin
36	Samer
190	Méricourt
220	Saint-Just-en-Chaussée
165	Moyenneville
96	Vitry-en-Artois
50	Lomme
126	Campagne-lès-Hesdin
30	Avesnes-sur-Helpe
23	Saint-Omer
82	Vic-sur-Aisne
197	Tergnier
94	Avesnes-le-Comte
146	Douvrin
230	Betz
209	Grandvilliers
281	Hallencourt
207	Douai-Nord-Est
208	Vailly-sur-Aisne
125	Liévin-Sud
268	Pas-en-Artois
2	Lille
89	Péronne
248	Picquigny
173	Liévin
44	Ribécourt-Dreslincourt
244	Maubeuge-Nord
280	Beauvais-Nord-Ouest
258	Cambrin
55	Hazebrouck
154	Arras-Nord
204	Bailleul-Nord-Est
215	Avion
252	Hirson
133	Fruges
240	Oisemont
283	Aubenton
67	Boulogne-sur-Mer-Nord-Est
13	Rue
147	Audruicq
291	Hornoy-le-Bourg
202	Tourcoing-Nord-Est
253	Saint-Simon
135	Vermand
264	Rosières-en-Santerre
216	Auxi-le-Château
262	Amiens  3e  (Nord-Est)
122	Solre-le-Château
130	Cysoing
144	Ham
211	Anzin
59	Béthune-Nord
14	Beauvais
29	Saint-Quentin
213	Combles
271	Conty
163	Maignelay-Montigny
245	Crécy-sur-Serre
212	Calais-Est
31	Quesnoy-sur-Deûle
10	Calais-Nord-Ouest
177	Noailles
151	Creil-Nogent-sur-Oise
157	Le Cateau-Cambrésis
140	Outreau
46	Landrecies
161	Abbeville-Sud
32	Roubaix
254	Chaumont-en-Vexin
78	Soissons-Sud
8	Boulogne-sur-Mer-Nord-Ouest
136	Douai-Sud-Ouest
15	Villeneuve-d'Ascq
100	Laon-Sud
174	Le Portel
91	Hautmont
11	Lille-Nord
171	Moÿ-de-l'Aisne
123	Nouvion
246	Guise
129	Dunkerque-Est
285	Noyelles-sous-Lens
131	Creil
214	Compiègne-Nord
250	Seclin-Sud
73	Ault
53	Hazebrouck-Nord
64	Arques
63	Berck
28	Bohain-en-Vermandois
201	Crécy-en-Ponthieu
265	Arleux
87	Lumbres
85	Marchiennes
249	Gamaches
159	Courrières
179	Saint-Amand-les-Eaux
19	Dunkerque
186	Saint-Amand-les-Eaux-Rive droite
290	Amiens  5e  (Sud-Est)
17	Chantilly
162	Norrent-Fontes
227	Amiens  1er (Ouest)
231	Ressons-sur-Matz
80	Craonne
200	Clary
259	Lille-Nord-Est
52	Valenciennes-Sud
70	Noyon
110	Harnes
43	Ardres
65	Saint-Omer-Nord
199	Maubeuge-Sud
221	Leforest
193	Béthune
228	Le Nouvion-en-Thiérache
148	Montataire
235	Heuchin
203	Crépy-en-Valois
116	Condé-en-Brie
1	Calais
37	Liancourt
196	Bapaume
3	La Fère
41	Saint-Valery-sur-Somme
224	Chaulnes
76	Hucqueliers
226	Carnières
56	Merville
107	Compiègne-Sud-Est
237	Montigny-en-Gohelle
289	Roisel
90	Orchies
112	Steenvoorde
260	Solesmes
27	Sissonne
104	Béthune-Sud
266	Avesnes-sur-Helpe-Nord
277	Amiens  8e  (Nord)
267	Sains-en-Gohelle
99	Bergues
111	Douai
103	Valenciennes-Est
120	Lille-Sud-Est
180	Le Quesnoy
102	Pont-à-Marcq
292	Oulchy-le-Château
137	Grande-Synthe
239	Neuilly-Saint-Front
6	Amiens
81	Abbeville
62	Nœux-les-Mines
132	Auneuil
138	Bouchain
20	Condé-sur-l'Escaut
69	Chauny
191	Villers-Cotterêts
35	Lens
22	Saint-Omer-Sud
187	Clermont
229	Le Quesnoy-Ouest
121	Bailleul-Sud-Ouest
109	Dainville
282	Molliens-Dreuil
257	Lassigny
88	Soissons
284	Ribemont
156	Le Quesnoy-Est
86	La Bassée
184	Desvres
68	Cambrai
192	Laventie
134	Valenciennes-Nord
119	Attichy
279	Acheux-en-Amiénois
145	Méru
233	Calais-Centre
287	Froissy
75	Houdain
170	Braine
128	Coucy-le-Château-Auffrique
273	Marle
217	Marcoing
225	Crèvecœur-le-Grand
71	Cassel
97	Poix-de-Picardie
251	Ailly-sur-Noye
149	Boulogne-sur-Mer-Sud
286	Bernaville
79	Trélon
205	Villers-Bocage
158	Soissons-Nord
175	Friville-Escarbotin
218	Tourcoing-Sud
105	Ailly-le-Haut-Clocher
141	Hesdin
113	Formerie
58	Compiègne
142	Fauquembergues
247	Rozoy-sur-Serre
270	Anizy-le-Château
276	Aubigny-en-Artois
92	Maubeuge
106	Nivillers
118	Hondschoote
39	Corbie
169	Amiens  4e  (Est)
66	Lannoy
198	La Capelle
164	Le Catelet
127	Wormhout
242	Estrées-Saint-Denis
219	Montdidier
108	Nesle
7	Barlin
288	Amiens  2e  (Nord-Ouest)
117	Arras-Sud
185	Vervins
223	Guiscard
38	Vimy
236	Croisilles
12	Seclin-Nord
45	Nanteuil-le-Haudouin
40	Albert
93	Tourcoing-Nord
33	Seclin
166	Bavay
238	Domart-en-Ponthieu
241	Coudekerque-Branche
160	Wingles
74	Roubaix-Ouest
255	Auchel
189	Cambrai-Est
4	Montreuil
143	Cambrai-Ouest
194	Le Coudray-Saint-Germer
54	Hazebrouck-Sud
261	Bray-sur-Somme
155	Aire-sur-la-Lys
168	Le Parcq
9	Marquise
83	Neuilly-en-Thelle
24	Boulogne-sur-Mer
48	Hénin-Beaumont
18	Senlis
84	Boves
95	Songeons
172	Mouy
16	Marcq-en-Barœul
61	Lillers
234	Beauvais-Sud-Ouest
51	Lille-Ouest
25	Douai-Sud
181	Douai-Nord
152	Bourbourg
139	Compiègne-Sud-Ouest
206	Dunkerque-Ouest
232	Marseille-en-Beauvaisis
275	Béthune-Est
274	Lens-Nord-Ouest
222	Saint-Quentin-Sud
278	Moreuil
167	Wattrelos
26	Fère-en-Tardenois
34	Étaples
195	Charly-sur-Marne
269	Avesnes-sur-Helpe-Sud
114	Pont-Sainte-Maxence
60	Bruay-la-Buissière
115	Doullens
150	Lens-Nord-Est
182	Denain
21	Arras
243	Guînes
153	Berlaimont
42	Gravelines
256	Divion
